GPST,Latitude,Longitude,Height
2024/02/14 04:24:11.00,27.681985202,85.319210617,1259.571
2024/02/14 04:24:12.00,27.682034737,85.319245834,1255.0088
2024/02/14 04:24:13.00,27.682017858,85.319251967,1255.035
2024/02/14 04:24:14.00,27.68202103,85.319198801,1261.6996
2024/02/14 04:24:15.00,27.681963658,85.319217963,1250.9638
2024/02/14 04:24:16.00,27.681992789,85.319239643,1252.666
2024/02/14 04:24:17.00,27.68199415,85.319228807,1259.321
2024/02/14 04:24:18.00,27.68201164,85.319217637,1264.623
2024/02/14 04:24:19.00,27.681988118,85.319257871,1251.6739
2024/02/14 04:24:20.00,27.681989824,85.319252592,1253.3268
2024/02/14 04:24:21.00,27.682045262,85.319227626,1261.6216
2024/02/14 04:24:22.00,27.682005228,85.319244582,1261.6337
2024/02/14 04:24:23.00,27.68200797,85.31923802,1258.2224
2024/02/14 04:24:24.00,27.682002111,85.319241985,1260.3616
2024/02/14 04:24:25.00,27.681981353,85.319202093,1255.6656
2024/02/14 04:24:26.00,27.681978986,85.319218527,1259.9034
2024/02/14 04:24:27.00,27.681958794,85.319224536,1251.6688
2024/02/14 04:24:28.00,27.682013527,85.319208301,1260.8652
2024/02/14 04:24:29.00,27.682038631,85.319243708,1262.3522
2024/02/14 04:24:30.00,27.682021278,85.319252394,1255.3368
2024/02/14 04:24:31.00,27.681972803,85.319223675,1252.0947
2024/02/14 04:24:32.00,27.682047283,85.319231599,1261.1824
2024/02/14 04:24:33.00,27.682008003,85.319238031,1258.2246
2024/02/14 04:24:34.00,27.682015634,85.319230921,1259.4049
2024/02/14 04:24:35.00,27.682032868,85.319249142,1262.9111
2024/02/14 04:24:36.00,27.682043799,85.319246366,1262.4902
2024/02/14 04:24:37.00,27.681966539,85.319208428,1251.6445
2024/02/14 04:24:38.00,27.682006841,85.319216502,1257.5145
2024/02/14 04:24:39.00,27.682051542,85.319238878,1261.4568
2024/02/14 04:24:40.00,27.682008576,85.319241361,1260.3993
2024/02/14 04:24:41.00,27.682038957,85.319258326,1257.1503
2024/02/14 04:24:42.00,27.682050728,85.319236379,1262.5934
2024/02/14 04:24:43.00,27.682038549,85.319253041,1264.2381
